	book	sentence_length	sentence	sentence_index
3944	Doug The Bug That Went Boing	7	"“Don’t drop me in there!"" cried Doug."	34
4411	Why Am I An Insect	12	A dragonfly’s rear wings are almost as long as its front wings.	79
3971	Doug The Bug That Went Boing	4	“Hey! Wait for me!”	61
2360	A Thing Called Snow	6	‘No, this is spray,’ said Salmon.	21
676	Once Upon A Unicorn Horn	4	“Something sweet?” said June.	33
6213	The Lighthouse Keeper's Lunch	10	“Wait and see,” said Mrs Grinling, “just wait and see.”	49
12769	The Little Bully	3	“Billy spins EVERYTHING!	7
9278	Night Monkey Day Monkey	9	“Look at those giants Swinging about in the trees.”	34
13384	Who Will Save Us	23	And the tees, oh the trees, they are so special, because they soak up the bad gas and turn it into good gas.	52
921	Oi Frog!	7	“Parrots sit on carrots,” said the cat.	23
6210	The Lighthouse Keeper's Lunch	5	“Just the mixture-for hungry seagulls.”	46
5349	Ten in the Bed and Other Counting Rhymes	11	The clock struck one, The mouse ran down, Hickory, dickory, dock.	62
1182	Santa is Coming to Devon	2	“Er...not quite.	14
3963	Doug The Bug That Went Boing	1	Ping!	53
13659	Jack and the Beanstalk	11	Where he had planted them there now stood an enormous beanstalk.	33
5967	All About Feelings	3	would you feel?	120
221	The Monstrous Tale of Celery Crumble	8	In her bag was a big glass jar.	31
558	The Storm Whale In Winter	13	He and his dad took it back to the sea, where it belonged.	2
5071	Wake Up, Sleeping Beauty	7	She groomed his coat until it shone.	19
1327	The Enormous Crocodile	8	The Enormous Crocodile laughed out loud at Humpy-Rumpy.	60
10657	Barry the Fish With Fingers and the Hairy Scary Monster	3	“Time’s running out!”	10
2746	An Alphabet Of Stories	15	F f Forever Ferdinand was out walking his frog, when he came upon a hole.	23
9417	Caterpillar Butterfly	2	IT’S LIKE	32
5098	Wake Up, Sleeping Beauty	10	She lay awake night after night, worrying about her pony.	46
9595	Elmer and the Wind	8	At last the wind dropped and Elmer landed.	67
11913	We're Going on a Bear Hunt	3	We’re not scared.	19
7458	Norman The Slug With The Silly Shell	5	CRASH “Norman, you silly slug!”	5
4028	Tyrannosaurus Drip	6	and he hooted, “Down with war!”	36
7572	The Jolly Postman or Other People's Letters	6	T eWH I T H .	36
12285	We're Going On A Lion Hunt	5	Have to go through it.	13
5279	Mole Hill	11	Our book here says they were destroyed by an enormous asteroid!”	57
333	Sing A Song Of Bottoms	4	Elephants have trumpy ones.	12
10722	Squash the Spider	5	“Yuk!” cried the whole class.	21
12122	Room on the Broom	2	f ...	36
4315	The Enormous Turnip	4	She hugged the farmer.	43
13674	Jack and the Beanstalk	17	But as he started to pull on the bars there came a sound like thunder, BOOM ...	48
850	Kipper's Toybox	2	he said.	12
10383	Wiggling Worms At Work	12	Grass grows greener, because there are thousands of wiggling worms at work.	88
8049	Kipper's A to Z	5	Arnold has found an ant.	1
9698	Eleanor Won't Share	3	Eleanor thought hard.	50
4817	The Smeds and The Smoos	19	They searched all year long, then they searched longer still, But they didn’t find Janet; they didn’t find Bill.	58
8664	Tiger Has a Tantrum	5	They talked about them, too.	86
2375	A Thing Called Snow	15	But they were too far away to get home 'Let's sleep here tonight,’ said Fox.	36
2894	The Owl's Lesson	4	“Hooray!” cheered the mole.	50
10801	Little by Little	4	'I can really swim!’	39
10820	The Tiger Who Came To Tea	21	And then he ate all the biscuits and all the cake, until there was nothing left to eat on the table.	14
12138	Room on the Broom	2	— THAT’S	52
7203	The Detective Dog	9	Thousands of books, from the floor to the ceiling.	68
1665	Open Very Carefully, A Book With Bite!	9	Stay back just in case… He’s on the move.	17
6118	All About Feelings	2	“Yes please!”	271
5952	All About Feelings	15	an At home-time, all the other children have enormous water slide for the first time.	105
10606	Knock Knock Dinosaur	1	_	28
7889	The Runaway Pea	10	But a magic thing happened while he was asleep… ...	46
11709	Where's My Cuddle	3	“Where’s my cuddle?”	24
9730	Romp in the Swamp	8	Harry and the dinosaurs didn’t think they would.	18
8054	Kipper's A to Z	8	“Let’s find something beginning with C,” said Kipper.	6
724	Mind Your Manners	15	It’s unkind to hurt anyone’s feelings, So take care with the words that you speak.	31
7553	The Jolly Postman or Other People's Letters	3	Covens catered for.	17
6114	All About Feelings	21	Helping friends and family Thinking about how other people are feeling and trying to help them can make you feel good.	267
11158	Cinderella's Ballet Shoes	5	“Are you sure?” asked Cinderella.	57
7198	The Detective Dog	4	Sniff, sniff, sn iff!	63
1153	Keith The Cat With The Magic Hat	8	I t was falling quickly through the air...	62
8273	The Three Little Pigs	9	“What shall we do?” said the second little pig.	72
13490	Jack Breaks The Beanstalk	5	“Did you break the beanstalks.	33
8694	The Teeny Weeny Tadpole	12	He looked up and saw a woolly face with a smudgy nose.	21
8882	How The Grinch Stole Christmas	12	But, since reindeer arc scarce, th ere was none to be found.	63
5152	No-Bot	5	He had found his BOTTOM!	43
3702	Dogger	6	Dave was very fond of Dogger.	4
447	The Troll	7	That night Percy Patch did the cooking.	50
4106	Elmer in the Snow	6	“It’s time for us to go.”	42
1791	Elmer and Grandpa Eldo	2	“Oh, Grandpa!”	28
4420	Why Am I An Insect	13	It may stop in mid-air, waiting for an insect to fly into view.	88
6203	The Lighthouse Keeper's Lunch	6	“Lackaday, lackaday,” said Mr Grinling sadly.	39
13813	The Christmas Extravaganza Hotel	12	“And look!” cried Frog as two little robins hopped about, chirping brightly.	66
5597	Dragon Post	16	My best friend Alex and his Dragun 28 Draco way, beacunwood, B87 URN To alex Wow!	89
2081	Jasper's Jungle Journey	6	Two chimps having chips and tea!	5
10466	Born to be a Butterfly	5	Inside, something amazing is happening.	33
8849	How The Grinch Stole Christmas	1	NOISE!	30
11170	Cinderella's Ballet Shoes	14	..they were just the “Thank, you!” cried Cinderella, throwing her arms around Griselda’s neck.	69
9933	Superworm	2	The hoola-hoop!	69
9139	Harry and the Dinosaurs go to School	4	Pterodactyl is the baby.	43
944	Elmer and the Lost Teddy	19	The sky was already dark and full of stars when Elmer, the patchwork elephant, heard the sound of crying.	0
7636	The Jolly Postman or Other People's Letters	3	A mf me	100
8115	Kipper's A to Z	4	And six squidgy slugs.	67
1547	The Enormous Crocodile	15	"""Hey! Let me go!” yelled the Enormous Croc odile, who was now dangling upside down."	280
683	Once Upon A Unicorn Horn	14	She ran as fast as she could, but it was a little too fast.	40
8282	The Three Little Pigs	18	Soon they sent for their mother, and they all lived happily together for as long as they could.	81
10767	Little by Little	6	It just said . . .	5
6955	The Dinosaur That Pooped Christmas	18	And so, with the thought of no Christmas this year, His tears turned to snowflakes and then disappeared.	28
875	Kipper's Toybox	7	Kipper was not sure what to do.	37
3691	Gordon's Great Escape	1	BANG!	48
7822	Ravi's Roar	10	The tiger took a huge, deep breath and then… ROARED!	25
9490	Caterpillar Butterfly	31	And the wings began to tremble, and to shine in the sunlight, and then suddenly there it was - a real butterfly, with spidery legs and its wings spread wide open.	105
11212	Farmer Duck	15	The duck fetched the cow from the field “How goes the work?” called the farmer.	3
10190	The Smartest Giant in Town	7	George came to a big squelchy bog.	54
1315	The Enormous Crocodile	10	"""I have secret plans and clever tricks,” said the Crocodile."	48
1880	Tabby McTat	8	And often he said, “What’s happened to Fred?”	30
9210	Gruff the Grump	21	So for the first time in a very long time he swept up all the old pine needles from the floor.	42
13759	The Christmas Extravaganza Hotel	7	Frog waved a brochure under Bear's nose.	12
7187	The Detective Dog	5	The book thief looked sad.	52
13570	The Snowiest Christmas Ever	6	But Button couldn’t open the door.	49
3204	The Rescue Party	12	Before long he was leading them back again towards the old well.	35
6110	All About Feelings	6	I understand that you’re feeling scared.	263
3488	Lost in Snow	8	The puppies rushed off through the flurrying snowflakes.	21
12098	Room on the Broom	10	The dog wagged his tail and the stormy wind blew.	12
5489	Ten in the Bed and Other Counting Rhymes	7	And he gave a little shout, “Yahoo!”	202
4793	The Smeds and The Smoos	5	Never, never marry a Smoo.	34
12073	The Ugly Duckling	4	r j,w J M	52
4162	Sharing A Shell	1	Look!	49
5532	Dragon Post	7	So I did as I was told.	24
10007	Mini Beasties	3	Syru p. Tea.	62
10498	All For One	3	"""OK,"" said Marlon."	11
1626	Harry and the Dinosaurs Go Wild	4	“I’ve had an idea!”	54
5920	All About Feelings	4	My colour is BLUE.	73
10414	Too Shy For Show And Tell	18	"Alex said ""weaf"" instead of ""leaf,"" but nobody seemed to notice, and everyone clapped when he had finished."	30
1237	Santa is Coming to Devon	8	Santa quickly sorted the presents into order again.	69
7496	Norman The Slug With The Silly Shell	1	Ta-da!	43
12796	The Little Bully	5	He had a baby sister.	34
2802	An Alphabet Of Stories	1	Qq	79
3207	The Rescue Party	6	He couldn’t see the little rabbit.	38
11469	The Duchess and Guy	9	But he didn’t have much luck . . .	2
2596	One Starry Night	10	“Whaaaaat?” said the shepherd boy, who was very afraid too.	35
1355	The Enormous Crocodile	9	Muggle-Wump went pale and began to shake all over.	88
979	Elmer and the Lost Teddy	13	They all said the same thing, “If we find it, we’ll call you.”	35
1097	Keith The Cat With The Magic Hat	2	“It’s a...	6
4201	The Rhyming Rabbit	10	“Stop singing – go to sleep!” said the other rabbits.	23
1018	The Hungry Caterpillar	13	On Tuesday he ate through two pears, but he w as still hungry.	5
4231	The Rhyming Rabbit	40	And supposing the baby centipedes grew And they each laid a hundred eggs like you, And all of the new little sisters and brothers Had just the same number of legs as the others, How many legs would THAT be?	53
1705	The Most Wonderful Gift In The World	2	whooped Bear.	3
7803	Ravi's Roar	12	There was a race to the train and guess who came last?	6
6011	All About Feelings	4	It’s inside your boot.”	164
2112	The Owl Who Was Afraid Of The Dark	5	“Dark is EXCITING, especially tonight.	9
9570	Elmer and the Wind	14	The elephants enjoyed the joke but a bird said “That was very silly, Elmer.”	42
3169	The Rescue Party	12	“What a perfect day for doing nothing,” said Percy the park keeper.	0
13238	Knock Knock Pirate	6	when TWO more pirates tumble in!	12
14102	Monkey Puzzle	5	“Butterfly, butterfly, can’t you see?	69
9071	The Bad-Tempered Ladybird	12	"""Oh, you’re not big enough,” said the bad-tempered ladybird and flew off."	77
7567	The Jolly Postman or Other People's Letters	1	a	31
4519	The Same But Different Too	3	l am. .	8
11519	Grandad's Island	12	Then, just as he was about to leave, Syd heard Grandad calling.	4
2067	The Hedgehog's Balloon	4	“Your very first balloon.”	54
1508	The Enormous Crocodile	2	Look out!	241
3910	Doug The Bug That Went Boing	11	Doug and Trevor had been best friends for a long time.	0
8749	The Teeny Weeny Tadpole	7	"""Of course you can, my little FROG!"""	76
3931	Doug The Bug That Went Boing	9	Then he heard a funny noise, Bzzzz, bzzzz, bump!	21
2955	The Dinosaur Department Store	8	Some called her wilful, some called her wild!	1
4269	The Rhyming Rabbit	2	Oh woe!	91
1602	Harry and the Dinosaurs Go Wild	4	So they started drawing.	30
321	Sing A Song Of Bottoms	9	Sing a song of bottoms, cos everybody’s got ‘em.	0
12885	The Gruffalo's Child	9	Whose is this trail and where does it go?	20
6141	All About Feelings	20	singing as my sa tt le v ee nr joyt yh sin ing a inn gd ”I a Em h	294
5478	Ten in the Bed and Other Counting Rhymes	7	And he gave a little shout, “Yahoo!”	191
7968	Zog and the Flying Doctors	15	Pearl gives people medicine and And Gadabout is expert at pills and vaccinations, performing operations.	2
10076	Elmer and Rose	1	“She?	13
9690	Eleanor Won't Share	6	“Can I play the new game?”	42
6952	The Dinosaur That Pooped Christmas	31	Then it ate Danny's mum, she was gone in one bite, And although Danny's dad tried to put up a fight, The dino had grown to the size of King Kong.	25
8361	Knock Knock Alien	1	Yikes!	12
4246	The Rhyming Rabbit	8	“Thank you, Sheep - you found a rhyme!”	68
9754	Romp in the Swamp	5	Stegosaurus grabbed the snake’s tail.	42
11286	Supertato	8	He used a flannel and some soapy water.	20
5790	Scruffy Bear and the Six White Mice	5	In the middle of summer?”	79
263	The Monstrous Tale of Celery Crumble	8	Someone she surprised with a big hairy spider.	73
10224	The Smartest Giant in Town	10	Inside was a beautiful gold paper crown and a card.	88
5145	No-Bot	16	"He looked out to sea, and saw something very familiar There it was ... ""Come back!”"	36
9414	Caterpillar Butterfly	12	The eggs were papery and empty I squashed some with my fingernail.	29
11550	Grandad's Island	4	“You see ... ...	35
11086	After the Storm	7	At long last their work was finished.	83
12132	Room on the Broom	17	The dragon drew nearer and, licking his lips, Said, “Maybe this once I’ll have witch without chips.”	46
7592	The Jolly Postman or Other People's Letters	19	DEAR GIANT BIGG, HAVING A NICE TIME – ME, MY MUM AND YOUR HEN WHAT LAYS THE GOLDEN EGGS.	56
9329	Snow White, Star Striker	19	Below the misty blue mountain was a wild, dark forest and by the wild, dark forest was a village.	1
5438	Ten in the Bed and Other Counting Rhymes	27	One little froggy sitting on a well, One looked up and down he fell, Froggy jumped high, Froggy jumped low, No little froggies dancing to and fro.	151
7152	The Detective Dog	18	The children loved reading their stories to Nell, And Nell loved to listen - and also to smell.	17
10999	When Granny Saved Christmas	17	“Thanks for making sure Santa finds us, Bubble,” yawned Squeak as the pair snuggled down to sleep.	63
12034	The Ugly Duckling	9	The other big ducks hissed and pecked at him.	13
14146	Little Monkey	2	she said.	27
7656	The Jolly Postman or Other People's Letters	22	On a separate matter, we must inform you that Messrs. Three Little Pigs Ltd. are now firmly resolved to sue for damages.	120
3784	Dogger	9	Dogger had just been bought by a little girl!	86
3076	Whatever Next!	25	He found a space helmet on the draining board in the kitchen, and a pair of space boots on the mat by the front door.	5
7799	Ravi's Roar	4	Even Biscuits the dog!	2
12890	The Gruffalo's Child	4	“You’re not the Mouse.”	25
2611	One Starry Night	26	A baby, lying in a manger; a baby, lying in a manger in a stable; a baby, lying in a manger in a stable in Bethlehem.	50
12402	The Cave	4	the little creature asks.	28
11450	Can't You Sleep Little Bear	17	Big Bear thought about it for a long time, and then he said, “Come on, Little Bear.”	64
10995	When Granny Saved Christmas	4	“Clever Granny!” cheered Squeak.	59
12670	The Pirates Next Door	23	She opened up her curtains as she stretched and had a yawn, And there, to her amazement, was a cross on every lawn!	97
11685	Where's My Cuddle	7	Jake said goodbye at the school door.	0
13074	One Snowy Night	9	Percy scratched his head and thought for a minute.	47
2487	Elmer and Wilbur	12	“But be careful, Wilbur likes to play tricks, especially with his voice.	6
2589	One Starry Night	8	Another little sheep came over the hill, grumpy.	28
5038	She Rex	3	Her massive teeth.	61
7947	Goldilocks and the Three Bears	3	"""gasped Mother Bear."	52
3703	Dogger	4	He took him everywhere.	5
4336	Why Am I An Insect	6	What makes an insect an insect?	4
11189	Bottoms Up!	4	Do bats wear bikini?	17
8589	Tiger Has a Tantrum	9	She told everyone to draw pictures of the jungle.	11
4672	The Snail and the Whale	2	Stay put!”	10
4604	Sir Charlie Stinky Socks and the Really Big Adventure	10	But it also threw its light onto . . .	46
12155	Room on the Broom	7	Then out rose . . . ...	69
967	Elmer and the Lost Teddy	6	Maybe Tiger has seen : it.”	23
1945	Harry and the Dinosaurs at the Museum	4	Come on, hurry up!”	25
11037	After the Storm	3	Percy stood up.	34
3344	Elmer and the Stranger	8	“You made me remember the river,” he said.	80
95	The Gruffalo	2	“A gruffalo?	5
7633	The Jolly Postman or Other People's Letters	24	The next day he went looking for a young woman whose foot would fit the slipper, meaning to many her, if she'd have him.	97
5706	Oi Dog!	11	“Elephants aren’t going to sit on smelly pants!” gasped the dog.	35
8404	Knock Knock Alien	8	But that just seems to make things worse.	55
219	The Monstrous Tale of Celery Crumble	12	The following day Celery went on a school trip to the zoo.	29
3187	The Rescue Party	1	“Wheeeee!”	18
59	Sugarlump and the Unicorn	3	Gallop-a- jump, gallop-a-jump.	29
13251	Knock Knock Pirate	3	Lift these nets!	25
8526	Boogie Bear	3	oh dear, dear,	81
12571	What The Ladybird Heard Next	29	"""Oink!"" said the hog, ""Baa!"" said the sheep and ""Woof!"" said the dog, And the farmer cheered, and both cats purred, But the ladybird said never a word ..."	79
5786	Scruffy Bear and the Six White Mice	14	Yuck!” said the snake in disgust, and she slithered off in search of supper.	75
7205	The Detective Dog	4	He gazed in amazement.	70
461	The Troll	8	“Oh please don’t eat me,” said the rabbit.	64
8985	How The Grinch Stole Christmas	9	Maybe Christm as… perhaps... means a little bit more!”	166
3860	Wide-awake Hedgehog	7	Sxgiugh, sssxxxksxugh...” and he started to snore.	19
5860	All About Feelings	11	Some are messages to tell you that your body needs something.	13
10062	Mini Beasties	2	R.H. Blyth	117
9123	Harry and the Dinosaurs go to School	8	Harry sort of liked the playground at playtime.	27
12584	The Pirates Next Door	5	We’ll be anchoring next door.	11
10051	Mini Beasties	15	We had coun ted two hundred and fifteen by the time we saw the millipede.	106
10702	Squash the Spider	10	Billy came in to watch T.V. and eat his supper.	1
398	The Troll	7	(That’s where trolls are supposed to live.)	1
2928	The Very Lazy Ladybird	11	So when a tiger padded by… She hopped onto his back.	9
12511	What The Ladybird Heard Next	4	"""Hiss!"" said the goose."	19
8457	Boogie Bear	3	Free Geography Lesson.	12
4981	She Rex	9	move it, mister... meet T. Rex's bigger sister ...	4
7614	The Jolly Postman or Other People's Letters	15	Ct ie nr ds rg eo llt d ar le os s ee d hin	78
5483	Ten in the Bed and Other Counting Rhymes	6	There were five in the bed...	196
9727	Romp in the Swamp	7	Harry hid the dinosaurs behind his back.	15
10111	Elmer and Rose	5	They’re just over the hill.	48
9150	Harry and the Dinosaurs go to School	1	Dinosaurs.	54
4676	The Snail and the Whale	5	“Lift wanted around the world.”	14
7356	The First Christmas	25	They also knew that Jesus would be loved throughout the world and that people would remember his birth as a time of happiness and peace.	74
330	Sing A Song Of Bottoms	5	Squirrels have a fluffy one.	9
1786	Elmer and Grandpa Eldo	5	Grandpa Eldo, where are you?”	23
812	The Princess and the Wizard	7	That was the end of the page.	74
1978	Harry and the Dinosaurs at the Museum	8	Then taught them Sliding On The Slippery Floor.	58
11423	Can't You Sleep Little Bear	5	“What dark?” asked Big Bear.	37
613	There's A Monster In Your Book	6	OK, now he’s back over there.	17
1282	The Enormous Crocodile	7	“Children are to o tough and chewy.	15
13739	Super Sid The Silly Sausage Dog	12	And he howled as loud as his doggy lungs would let him.	29
4609	Sir Charlie Stinky Socks and the Really Big Adventure	8	Just the thing for a really big adventure!	51
10476	Born to be a Butterfly	11	She sucks up the sweet nectar with her long, hollow tongue.	43
8292	Lenny Makes A Wish	5	How lonely she must be!	8
10889	Stick Man	5	he says with a laugh.	45
5381	Ten in the Bed and Other Counting Rhymes	12	Jumping Beans One, two, three, four, Beans came jumping through the door.	94
2988	The Dinosaur Department Store	7	One’s called Maud, the other’s called Frank.	34
8687	The Teeny Weeny Tadpole	2	"""You will."	14
4344	Why Am I An Insect	13	The smallest species has a wingspan of less than 2 centimetres (0.8 inch).	12
4202	The Rhyming Rabbit	7	The Rhyming Rabbit felt sad and lonely.	24
3087	Whatever Next!	10	Baby Bear waved and some of the passengers waved back.	16
10434	Born to be a Butterfly	7	Her red-striped wings shine in the sun.	1
10620	Knock Knock Dinosaur	6	"We’re having such a lovely play!"""	42
3980	Doug The Bug That Went Boing	10	"""How about a gam e of Berry Ball right now?”"	70
13900	Cinder the Bubble-Blowing Dragon	29	Instead, he blew streams of bubbles and the harder he snorted, the more bubbles appeared… until he was standing up to his scaly chest in one enormous bubble bath.	12
7276	The Book With No Pictures	8	In fact, it is completely and utterly preposterous!	61
7459	Norman The Slug With The Silly Shell	2	they cried.	6
2029	The Hedgehog's Balloon	6	It was not a happy sound.	16
10423	Too Shy For Show And Tell	7	“This is my new dog,” he said.	39
9219	Gruff the Grump	6	“Hello, Mr Bear,” she said worn-outly.	51
6927	The Dinosaur That Pooped Christmas	17	From high in the sky Santa looked down below To houses all cosy and covered in snow.	0
11084	After the Storm	16	At lunchtime they took a short break to share some of Percy’s pean ut butter sandwiches.	81
2805	An Alphabet Of Stories	6	Do you know where it is?	82
10986	When Granny Saved Christmas	6	“Granny, where’s your chimney?” cried Bubble.	50
13621	The Snowiest Christmas Ever	17	And while the bears slept soundly, Santa climbed down the chimney to leave them the perfect present.	100
5805	The Gingerbread Man	7	“Come back!” said the little old man.	9
6611	Hippo Owns Up	12	Now there was a little hole on one side of the cake.	32
6350	All Year Round	15	Sunny Cloudy Rainy Snowy Stormy Seasons As spring turns to summer then to autumn and.	37
4238	The Rhyming Rabbit	3	It tasted delicious.	60
3031	The Fox's Hiccups	2	“It’s. .	28
8023	Zog and the Flying Doctors	7	She told the others what to get.	57
4679	The Snail and the Whale	9	And this is the tail Of the humpback whale.	17
14028	The Truth According to Arthur	9	And that turned out to be ALL RIGHT, actually.	40
2319	Shark In The Dark	3	He looks everywhere.	17
8487	Boogie Bear	11	“Get the BOOGIE MONSTER!” bellowed the littlest one from the back.	42
3014	The Fox's Hiccups	6	He had had hiccups all afternoon.	11
14103	Monkey Puzzle	7	None of these creatures looks like me!”	70
1731	The Most Wonderful Gift In The World	16	But suddenly the wind picked up and blasted them full in the face . . .	29
9159	Harry and the Dinosaurs go to School	9	The boy with the digger put up his hand.	63
12258	Grandma Bird	3	“Grandma!” shouted Noi.	30
3942	Doug The Bug That Went Boing	3	But here goes!”	32
1166	Keith The Cat With The Magic Hat	1	Then...	75
1451	The Enormous Crocodile	14	When sch ool was over, the children all came running on to the playground.	184
10073	Elmer and Rose	3	'Where is she?”	10
7599	The Jolly Postman or Other People's Letters	31	Once more on his bicycle The Postman rode To a beautiful palace, so we’ve been told, Where nightingales sang And a sign said ‘SOLD’, With a letter for . . .	63
5035	She Rex	3	The lizard queen!	58
3692	Gordon's Great Escape	1	BANG!	49
7912	Goldilocks and the Three Bears	14	"“I’m sure no one would mind if I had a tiny taste,"" thought Goldilocks."	17
1943	Harry and the Dinosaurs at the Museum	8	“Yes, but not the right ones,” said Sam.	23
8992	How The Grinch Stole Christmas	2	HE HIMSELF…!	173
5549	Dragon Post	7	I wonder if I could taste-eat -meet	41
10304	Wiggling Worms At Work	5	Air flows along these tunnels.	9
1347	The Enormous Crocodile	9	Muggle- Wump was sitting in a tree, eating nuts.	80
2425	The Way Home For Wolf	11	One night it was time for the wolves to move on...	8
10171	The Smartest Giant in Town	8	“I wish we had a nice new house!”	35
7558	The Jolly Postman or Other People's Letters	14	LC OH VO EI LC YE O OF F OI UV RE F ni	22
1208	Santa is Coming to Devon	17	“In two kilometres...” said the Santa-nav in a bossy lady’s voice, “...keep left at the next star.”	40
10109	Elmer and Rose	3	Elmer just chuckled.	46
424	The Troll	9	It was Ben Buckle’s turn to do the cooking.	27
554	The Troll	6	“And what’s that?” asked the troll.	157
1954	Harry and the Dinosaurs at the Museum	5	Anchisaurus pinched me!” said Stegosaurus.	34
6880	Giraffe is Left Out	8	At last it was time to go home.	88
8745	The Teeny Weeny Tadpole	4	"""Look, Mum!"" said Tadpole."	72
4533	The Same But Different Too	3	I am hot.	22
4751	Ruby's Worry	18	She asked the boy what was on his mind and, as he told her, the strangest thing happened...	34
12862	All In One Piece	15	“All in one piece,” said Mrs Large, “and not a smear of paint between us.”	46
12987	Elephant Learns to Share	10	They were playing with an old bat and ball set.	42
12373	The Wheels on the Bus	12	The wheels on the bus go round and round, at the zoo.	37
5496	Ten in the Bed and Other Counting Rhymes	8	Two small school boys met in a lane...	209
9023	The Bad-Tempered Ladybird	8	At seven o’clock it saw a stag beetle.	29
9807	The Polar Express	10	The guard answered, “He w ill choose one of you.”	41
10303	Wiggling Worms At Work	3	This creates tunnels.	8
5714	Scruffy Bear and the Six White Mice	7	It was coming from the gloomy wood.	3
13160	The Squirrels Who Squabbled	3	Take a look!	12
8440	Knock Knock Alien	3	"Where’s the cat?"""	91
573	The Storm Whale In Winter	3	Noi was lost!	17
4089	Elmer in the Snow	8	One by one the others curiously joined him.	25
6298	Dogs Don't Do Ballet	3	“That’s my dog!	68
5815	The Gingerbread Man	5	He ran past a cow.	19
5282	Mole Hill	7	And the days of dinosaurs were done.	60
9164	Harry and the Dinosaurs go to School	7	All the other children laughed and laughed.	68
11683	You Can't Take An Elephant On The Bus	8	There's room here for EVERYONE - even giraffe!	46
7420	Careful Santa!	4	This will never do.”	63
11804	Princess Mirror-Belle And The Dragon Pox	3	They’re much better.	48
68	Sugarlump and the Unicorn	11	Seven times she turned around, And the horse's wish came true.	38
2390	Yoga Babies	9	We’re the Yoga Babies, look what we can do.	0
2417	The Way Home For Wolf	36	As a rainbow of lights flickered soft in the night, Dusting diamonds of ice in a desert of white, The wild, whipping wind, it whistled its tune, To a howling of wolves and a shimmering moon.	0
11904	We're Going on a Bear Hunt	5	We can’t go under it.	10
12933	The Gruffalo's Child	9	Who is this creature so big, bad and strong?	68
4682	The Snail and the Whale	25	These are the waves that arched and crashed, That foamed and frolicked and sprayed and splashed The tiny snail On the tail of the whale.	20
1595	Harry and the Dinosaurs Go Wild	8	Harry could put it up in his window.	23
2531	Elmer and Wilbur	3	Why?” said Elmer.	50
12083	The Ugly Duckling	3	“Welcome,” they said.	62
9265	Night Monkey Day Monkey	5	“Maybe I’m dreaming,” he said.	21
9049	The Bad-Tempered Ladybird	8	At twelve noon it spotted a boa constrictor.	55
4216	The Rhyming Rabbit	16	How do you change your shape like that, From long and skinny to short and fat?	38
245	The Monstrous Tale of Celery Crumble	1	Tail?	55
6323	All Year Round	11	•Before touching soil or plants, cover any cuts with a plaster.	10
3065	You Choose	6	Or two or three or more?	10
4614	Sir Charlie Stinky Socks and the Really Big Adventure	6	He went on belching out smoke.	56
4110	Elmer in the Snow	8	“It’s nice to be back in the warm.	46
12022	The Ugly Duckling	12	Six of them were soft and fluffy and yellow, and said, “Quack.”	1
13387	Who Will Save Us	14	"""To make room for more roads, houses and factories, and to grow more food."	55
673	Once Upon A Unicorn Horn	11	“Let’s start by trying to cheer up your friend,” said Mum.	30
3035	The Fox's Hiccups	6	He felt he should introduce himself.	32
4105	Elmer in the Snow	11	“It’s starting to snow quite hard” said Elmer after a while.	41
4504	Why Am I An Insect	12	Scorpions do not have antennae and their eyes are not compound eyes.	172
10833	The Tiger Who Came To Tea	19	And Sophie found she couldn’t have her bath because the tiger had drunk all the water in the tap.	27
9980	Mini Beasties	9	Some live imprisoned in cells, Yet are good citizens.	35
9019	The Bad-Tempered Ladybird	7	"""Hey you,” said the bad- tempered ladybird."	25
3194	The Rescue Party	1	“Help!	25
2991	The Dinosaur Department Store	10	“At last we have reached the end of the tour.	37
11982	We're Going on a Bear Hunt	4	Two big furry ears!	88
3411	Zog	10	Perhaps you’d like a nice stretchy bandage for your wing?”	40
3315	Elmer and the Stranger	14	The next morning, after talking to Lion and Tiger, Elmer went to meet Kangaroo.	51
9336	Snow White, Star Striker	22	The team had a match coming up against the ogres from the next village and she was one of their best players.	8
7336	The First Christmas	13	“We must go and look for him so that we can worship him.	54
2036	The Hedgehog's Balloon	4	“Whatever is the matter?”	23
11236	Farmer Duck	1	“Quack!”	27
3578	Monkey Needs to Listen	9	They had to work together to build the go-karts.	28
2459	The Way Home For Wolf	8	he proclaimed with his chin in the air.	42
5861	All About Feelings	4	Tara is feeling TIRED.	14
9910	Superworm	7	We must help him if we can.	46
1427	The Enormous Crocodile	5	It was Humpy-Rumpy, the Hippopotamus.	160
9425	Caterpillar Butterfly	4	He shook his head.	40
6977	Lion's in a Flap	5	It was a horrid feeling.	8
3617	Monkey Needs to Listen	14	He was sorry that he had not checked the wheels and the steering wheel.	67
3881	Wide-awake Hedgehog	1	“Yesssss!”	40
1413	The Enormous Crocodile	5	Soon, two children came along.	146
114	The Gruffalo	3	What's a gruffalo?”	24
11732	Jesus' Christmas Party	7	On e smaller blanket,” said the innkeeper.	11
11336	Who Will Sing My Puff-a-bye	5	“And what about my puff-a-bye?	6
230	The Monstrous Tale of Celery Crumble	12	Then the giraffe slipped.. ... and fell right into the monkey hut.	40
7039	Lion's in a Flap	5	But Lion began to worry.	70
13341	Who Will Save Us	10	So all five climb up onto the ice to listen.	9
11675	You Can't Take An Elephant On The Bus	5	“Then how can we travel?”	38
