	book	sentence_length	sentence	sentence_index
8205	The Three Little Pigs	16	After a while, they reached a crossroads, and each little pig went down a different path.	4
2439	The Way Home For Wolf	6	and he lost his way back.	22
2342	A Thing Called Snow	6	Then one day Fox's nose twitched.	3
7963	Goldilocks and the Three Bears	13	She flew out of the cottage and ran all the way home, crying...	68
6552	All Year Round	21	Collection You can make a collection of all kinds of things that interest you, such as stamps, shells or Bulbs autographs.	239
8254	The Three Little Pigs	10	The little pig opened his door, and in they tumbled.	53
10869	Stick Man	4	“I’m not a twig!	25
8823	How The Grinch Stole Christmas	5	Now, please don’t ask why.	4
794	The Princess and the Wizard	15	On Friday she turned herself into a purple butterfly and fluttered among some purple flowers.	56
11995	We're Going on a Bear Hunt	2	Stumble trip!	101
10359	Wiggling Worms At Work	9	After mating, each worm crawls back into its burrow.	64
9790	The Polar Express	9	Soon there were no more lights to be seen.	24
3334	Elmer and the Stranger	14	After a while, Elmer said, “Come on, Kangaroo, it’s time you had a go.”	70
6586	Hippo Owns Up	5	Hippo looked at the clock.	7
6607	Hippo Owns Up	9	He decided to try a tiny bit of it.	28
12384	The Cave	13	“I bet you’re SO bored in there, all cooped up in your cave.”	10
1483	The Enormous Crocodile	18	The E normous Crocodile crept around the edge of the town, taking great care not to be seen.	216
12887	The Gruffalo's Child	10	Could this be the tail of the Big Bad Mouse?	22
12899	The Gruffalo's Child	10	Could these be the eyes of the Big Bad Mouse?	34
9451	Caterpillar Butterfly	18	"""Some spiny caterpillars can give you a rash, and other kinds leave a nasty smell on your fingers."	66
747	The Princess and the Wizard	22	The Wizard just laughed his horrible laugh and said: “Changing her colour and changing her shape Will never help Princess Eliza escape.”	9
9233	Gruff the Grump	10	The little rabbit stopped crying and tried a little smile.	65
8600	Tiger Has a Tantrum	11	Miss Bird sent him out of the room to calm down.	22
10714	Squash the Spider	15	At school the next day, Billy and his friends sat down on the story mat.	13
7893	The Runaway Pea	19	The shoots all had pods, and inside every one was a party of new peas, all bursting with fun!	50
9112	Harry and the Dinosaurs go to School	4	“Hello, Harry,” she said.	16
11434	Can't You Sleep Little Bear	17	“Thank you, Big Bear,” said Little Bear, curling up in the glow and watching the shadows dance.	48
3855	Wide-awake Hedgehog	4	Isaac wanted to play.	14
6134	All About Feelings	7	“Sit next to me if you want.”	287
10494	All For One	7	"""My alien space bomb blew everything up."""	7
9102	Harry and the Dinosaurs go to School	8	Harry blew his whistle just like a teacher.	6
10141	The Smartest Giant in Town	33	So he bought a smart shirt, a smart pair of trousers, a smart belt, a smart stripy tie, some smart socks with diamonds up the sides, and a pair of smart shiny shoes.	5
3206	The Rescue Party	17	Percy cleared away the rotten wood that had covered the well, and peered into the dark hole.	37
6170	The Lighthouse Keeper's Lunch	30	Sometimes at night, as Mr Grinling lay sleeping in his warm bed, the ships would toot to tell him that his light was shining brightly and clearly out to sea.	6
6991	Lion's in a Flap	13	On Monday, lion worried that it might rain on the Big Day Out.	22
3623	Monkey Needs to Listen	9	Mr Croc said it was a very good idea.	73
10095	Elmer and Rose	2	Goodbye, Rose.”	32
3378	Zog	11	“Now that you’ve been shown, you can practise on your own.	7
9551	Elmer and the Wind	1	“HELP!	23
1964	Harry and the Dinosaurs at the Museum	5	The cafeteria was very busy.	44
6311	Dogs Don't Do Ballet	12	“See,” I say proudly, ruffling Biff s ears, “Dogs DO do ballet.	81
3728	Dogger	11	Joe kicked his feet about and shouted for more in-between licks.	30
3434	Zog	4	“Right!” said Madam Dragon.	63
2715	Harry and the Dinosaurs say Raahh!	9	All the dinosaurs liked riding and they liked rinsing.	40
2874	The Owl's Lesson	12	Almost at once, she was back again, flying just above their heads.	30
11456	Can't You Sleep Little Bear	30	“No need to be!” said Big Bear, and he took Little Bear by the paw and led him out from the cave into the night and it was ... DARK!	70
10031	Mini Beasties	5	Red gown dancing in joy.	86
12669	The Pirates Next Door	14	She vowed she’d keep in touch with him as she struggled out of bed.	96
11033	After the Storm	15	“Some of us lived in the tree and some of us live d under it.	30
2325	Shark In The Dark	6	It’s a seagull with his tea!”	23
9147	Harry and the Dinosaurs go to School	5	And do you know what?	51
7883	The Runaway Pea	11	"""You won't,” said the grapes, ""cos you've been on the floor."	40
3275	Elmer and the Stranger	2	“Elmer knows.”	11
7770	The Storm Whale	15	Every day, Noi’s dad left early for a long day’s work on his fishing boat.	1
3562	Monkey Needs to Listen	10	He told them they were going to work in teams.	12
11887	Princess Mirror-Belle And The Dragon Pox	7	“That one on your nose has disappeared.	131
11402	Can't You Sleep Little Bear	14	“There’s a tiny light to stop you being scared, Little Bear,” said Big Bear.	16
11943	We're Going on a Bear Hunt	2	A forest!	49
11527	Grandad's Island	12	Syd found himself standing on the deck of a very tall ship.	12
3111	Cave Baby	22	Cave Baby’s lucky - he lives inside a cave with his mum (who's good at painting) and his dad (who's very brave).	0
11400	Can't You Sleep Little Bear	32	Big Bear looked, and he saw that the dark part of the cave was very dark, so he went to the Lantern Cupboard and took out the tiniest lantern that was there.	14
11290	Supertato	2	everyone gasped.	24
1983	Harry and the Dinosaurs at the Museum	6	Let’s find the person in charge!”	63
1453	The Enormous Crocodile	2	they cried.	186
7732	Charlie Cook's Favourite Book	9	A bold andfearless knight who told the dragon… ‘Wait!	9
9671	Eleanor Won't Share	5	"“I don’t like healthy things."""	23
2351	A Thing Called Snow	15	So they thanked Bear and set off looking for something as white as their fur.	12
3705	Dogger	15	Sometimes he pulled him along on a lead made of string like a real dog.	7
586	The Storm Whale In Winter	14	They sang through puffs of steam and spray as the ice cracked and crunched.	30
3608	Monkey Needs to Listen	5	Everyone ran to help Monkey.	58
10237	Supertato Veggies Assemble	7	But now there were BAGS of them!	9
12485	The Singing Mermaid	1	Hooray!	48
1213	Santa is Coming to Devon	11	He looked over at the old reindeer with the red nose.	45
3821	Is It Betime Wibbly Pig	7	Have you finished your drink, Wibbly Pig?	11
4012	Tyrannosaurus Drip	20	Out hatched Babies One and Two, as perfect as could be, But Mother T was horrified by Baby Number Three.	20
5709	Oi Dog!	91	“If dOgS sit on logs, cats sit on gnats, bears sit on stairs, slugs sit on plugs, flies sit on pies, crickets sit on tickets, moths sit on cloths, leopards sit on shepherds, cheetahs sit on fajitas, gnus sit on canoes, Pigs sit on Wigs, boars sit on oars, whales sit on nails, dragons sit on wagons, mice sit on ice, kittens sit on mittens, puppies sit on guppies, crabs sit on kebabs, poodles sit on noodles, hornets sit on cornets, skunks sit on trunks, and elephants sit on smelly pants...”	38
6631	Hippo Owns Up	10	She said Hattie, the school cat, must have eaten it.	52
8776	Santa to the Rescue	10	There was much to be done and so little time.	26
8108	Kipper's A to Z	3	And of course.	60
568	The Storm Whale In Winter	13	He counted all six cats safe inside and dashed down to the shore.	12
9922	Superworm	8	I’m wrapped in leaves and stuck with honey!”	58
7199	The Detective Dog	14	They raced through the wood and over the field where the rabbits smelled good.	64
10866	Stick Man	5	“A twig!” says the swan.	22
6173	The Lighthouse Keeper's Lunch	6	But one Monday something terrible happened.	9
977	Elmer and the Lost Teddy	7	After that, Elmer visited the other animals.	33
12345	The Wheels on the Bus	12	The hippos on the bus go squish squash squeeze at the zoo.	9
7191	The Detective Dog	10	I was planning to give all the books back tomorrow.”	56
8660	Tiger Has a Tantrum	6	Then Monkey had a good idea.	82
9104	Harry and the Dinosaurs go to School	7	No talking and jump in the bucket.”	8
3355	Dinosaurs Love Underpants	16	He roared with deafening rants, “I don’t want to eat you up, I want your underpants!”	3
6654	Hippo Owns Up	6	Hippo baked a very good cake.	75
4410	Why Am I An Insect	13	But when a dragonfly is not flying, its wings lie across its body.	78
11315	Supertato	6	“You’re about to be MASHED POTATO!”	49
4292	The Enormous Turnip	5	“Woof.” barked the farmer’s dog.	20
9511	These Are Animals	6	<£><£> <£<£ These are rainforest animals.	18
11987	We're Going on a Bear Hunt	4	Back through the cave!	93
927	Oi Frog!	7	“Foxes sit on boxes,” said the cat.	29
11153	Cinderella's Ballet Shoes	4	they were too Knock!	52
903	Oi Frog!	6	“I don’t care,” said the cat.	5
8731	The Teeny Weeny Tadpole	6	Hippity-hop, he landed with a bop!	58
4919	I Am Amelia Earhart	1	-AMELIA	78
8167	Little Red Riding Hood	4	“Come in,” called grandmother.	28
8240	The Three Little Pigs	11	The two little pigs ran off as fast as they could.	39
8641	Tiger Has a Tantrum	4	They ran and hid.	63
2848	The Owl's Lesson	1	“Percy!	4
4035	Tyrannosaurus Drip	22	So he ran off to the river, where he saw a lovely sight; A herd of duckbill dinosaurs, all hooting with delight.	43
3834	Is It Betime Wibbly Pig	8	Do you want Pigley, or Flop, or Dimple?	24
7258	The Book With No Pictures	21	and also, the kid I’m reading this book to is THE BEST KID EVER IN THE HISTORY OF THE ENTIRE WORLD.	43
47	Sugarlump and the Unicorn	7	Clippety-dop, clippety-dop, He trotted along the road.	17
2301	The Cross Rabbit	9	A little in each ear should do the trick.”	66
2448	The Way Home For Wolf	9	Then he fell and he fell, rolling and spinning.	31
2034	The Hedgehog's Balloon	9	Two mice were doing their best to comfort him.	21
811	The Princess and the Wizard	11	She hid in a cloud, then she had one more try.	73
2184	The Owl Who Was Afraid Of The Dark	3	“Hello!” said Plop.	81
12153	Room on the Broom	20	They threw them all in and the witch stirred them well, And while she was stirring she muttered a spell.	67
11866	Princess Mirror-Belle And The Dragon Pox	4	So Ellen did. .	110
2615	One Starry Night	10	The angels and the stars had disappeared into the sky.	54
518	The Troll	5	Surely goats can’t open lids?	121
13496	Jack Breaks The Beanstalk	8	“Whatever are you doing up there?” called Griselda.	39
13949	The Animal Boogie	5	Swing, swing, boogie, woogie, oogie!	13
9392	Caterpillar Butterfly	6	I couldn't see any butterflies, though.	7
2310	Shark In The Dark	6	What’s that bobbing in the dark?	8
7402	Careful Santa!	14	“I am trying to be careful,” said Santa, as he struggled to get free.	45
14050	Monkey Puzzle	4	Then she's very near.	17
3000	The Dinosaur Department Store	3	Are you upset?	46
3643	Gordon's Great Escape	3	This is Gordon.	0
3546	Lost in Snow	10	The puppies wanted to know all about Ollie’s Big Adventure.	79
11594	Harry and the Robots	13	Harry worked hard all morning ... ... until there was a new robot.	24
6572	All Year Round	21	Migration is the name for the long journey that animals, birds and insects make in order to Herbs look for food.	259
13973	The Animal Boogie	17	Down in the jangle where there's danger all around,' What can you see slithering on the ground?	37
1714	The Most Wonderful Gift In The World	5	Esme had a better idea.	12
385	Barry The Fish With Fingers	3	“Look out, Puffy!”	27
3184	The Rescue Party	7	“I can jump the longest!” said one.	15
4450	Why Am I An Insect	12	In cooler areas, the eggs may not hatch until the following summer.	118
7502	Owl Babies	3	“Oh my goodness!	5
6747	Elmer on Stilts	6	“I didn’t see you up there.	13
1683	Open Very Carefully, A Book With Bite!	7	All that drawing has woken him up!	35
2150	The Owl Who Was Afraid Of The Dark	3	So Plop stayed.	47
6775	Elmer on Stilts	9	There was one thing, however, that Elmer had forgotten.	41
3842	Wide-awake Hedgehog	13	It was the time when hedgehogs should be settling for their winter sleep.	1
1398	The Enormous Crocodile	11	One child isn’t going to be nearly enough for me today.	131
1748	The Most Wonderful Gift In The World	5	“Maybe it’s tiddlywinks!” smiled Esme.	46
5508	Dragon Post	6	One day I found a dragon.	0
3813	Is It Betime Wibbly Pig	7	Have you finished your bath, Wibbly Pig?	3
6765	Elmer on Stilts	3	“It won’t work.”	31
13699	Jack and the Beanstalk	23	As soon as Jack reached the ground he took the axe and chopped until the beanstalk and the giant crashed to the ground.	73
1310	The Enormous Crocodile	10	A gigantic creature was standing in the slimy oozy m	43
11077	After the Storm	2	Everyone nodded.	74
11783	Princess Mirror-Belle And The Dragon Pox	2	Ellen laughed.	27
8019	Zog and the Flying Doctors	6	He croaked, “What is this illness?”	53
749	The Princess and the Wizard	17	The Wizard whisked the Princess up the chimney and carried her away to his tall dark castle.	11
2754	An Alphabet Of Stories	7	(Good manners are very important you know.)	31
2980	The Dinosaur Department Store	11	Fang-toothed carnivores grinding their jaws, Rip-roaring raptors with Sharp, Slashing claws.	26
2214	The Owl Who Was Afraid Of The Dark	6	“Moonlight is magic,” said the cat.	111
13755	The Christmas Extravaganza Hotel	4	Show me the lights!	8
8950	How The Grinch Stole Christmas	2	The trappings!	131
13618	The Snowiest Christmas Ever	4	“Of course,” grinned Papa.	97
5749	Scruffy Bear and the Six White Mice	10	There are mice about here somewhere — I smell them!”	38
11584	Harry and the Robots	7	That day, Sam watched TV a lot.	14
6092	All About Feelings	20	You feel disappointed because your friend is ill and can't come for a Make your friend a get well card.	245
9294	Night Monkey Day Monkey	5	Night Monkey calls it tea.	50
2095	Jasper's Jungle Journey	11	Searching for a bear under the trees, what did he see?	19
11701	Where's My Cuddle	6	So Jake went to the wizard.	16
4400	Why Am I An Insect	5	They can even fly backwards.	68
9668	Eleanor Won't Share	10	At school, Eleanor tried to be nice to her classmates.	20
6321	All Year Round	8	•Try to look at creatures without disturbing them.	8
1586	Harry and the Dinosaurs Go Wild	8	“I want to save some animals,” he said.	14
8349	Knock Knock Alien	2	KNOCK KNOCK!	0
6237	Dogs Don't Do Ballet	6	My dog thinks he’s a ballerina!	7
9001	The Bad-Tempered Ladybird	2	"""Go away!”"	7
11167	Cinderella's Ballet Shoes	10	“They’re old but you never know, they may just fit.”	66
9824	The Polar Express	15	But the thing 1 wanted most for Ch ristmas was not inside Santa’s giant bag.	58
4226	The Rhyming Rabbit	4	“I’m looking for worms.”	48
4069	Elmer in the Snow	7	“It’s just a bit colder than usual.	5
13979	The Animal Boogie	8	That's the way he’s slithering on the ground.	43
11992	We're Going on a Bear Hunt	2	Hoooo wooooo!	98
1744	The Most Wonderful Gift In The World	4	Secondly, it was COSY-WARM!	42
9713	Romp in the Swamp	17	That was why Harry and the dinosaurs had to go and play with some girl called Charlie.	1
533	The Troll	1	“Wait!”	136
4081	Elmer in the Snow	1	“SNOW!”	17
3455	Zog	6	“Perhaps, Princess, you’ll train me up?”	84
7593	The Jolly Postman or Other People's Letters	4	(IT’S BETTER THAN TRAVELLER’S	57
6590	Hippo Owns Up	10	Hippo thought about the chocolate cake and the chocolate icing.	11
13388	Who Will Save Us	16	"Because there are more and more humans living on The Great Ball,"" answered Old Wise, sadly."	56
6264	Dogs Don't Do Ballet	3	“He loves ballet.	34
10489	All For One	40	"He had made a big castle out of the videos, blown it up with his special alien powers ... and helped his army on a dangerous mission up the bookcase ""I wish I had someone to play with,"" said Marlon."	2
10791	Little by Little	18	He hopped along the river bed, keeping his toes off the bottom just that bit longer every time.	29
4245	The Rhyming Rabbit	13	The Rhyming Rabbit turned round and saw a woolly sheep standing beside him.	67
3857	Wide-awake Hedgehog	1	"""Mmmmm."	16
8729	The Teeny Weeny Tadpole	2	"""Watch this!"""	56
10481	Born to be a Butterfly	7	She finds him sitting on a leaf.	48
10859	Stick Man	10	It’s 1, 2, 3 - into the river they go!	15
9103	Harry and the Dinosaurs go to School	8	He said, “In twos, holding hands, my dinosaurs.	7
7729	Charlie Cook's Favourite Book	10	They went into the bedroom, and Baby Bear said, “Look!	6
2020	The Hedgehog's Balloon	10	“I wonder where they’re coming from,” he said to himself.	7
473	The Troll	4	Hank Chief said nothing.	76
12353	The Wheels on the Bus	13	The tiger on the bus goes ROAR ROAR ROAR, ROAR ROAR ROAR, ROAR.	17
9048	The Bad-Tempered Ladybird	13	"""Oh, you’re not big enough,” said the bad- tempered ladybird and flew off."	54
542	The Troll	9	"""Yes,” said the troll and “YES!” shouted the pirates."	145
10590	Knock Knock Dinosaur	25	"“This is kind of fun,"" I think as I pour the dinosaur a drink But something makes a dreadful crash, it’s TWO triceratops, THUMP BUMP"	12
1121	Keith The Cat With The Magic Hat	3	But nothing happened.	30
7945	Goldilocks and the Three Bears	3	growled Father Bear.	50
4843	I Am Amelia Earhart	7	"They said we shouldn’t have ""unladylike” adventures."	2
12823	All In One Piece	6	“What about the baby?” asked Luke.	7
5665	A Letter to Santa	14	When I wake up, it’s Christmas Dag, and just like mg dream, Santa’s been!	48
6375	All Year Round	5	Lay more compost on top.	62
7685	What The Ladybird Heard	14	Round the duck pond, past the hog (Being careful not to wake the dog).	16
1807	Elmer and Grandpa Eldo	4	“Lucky it’s not deep.”	44
1086	A Squash and a Squeeze	7	There’s plenty of room in my house.”	55
3305	Elmer and the Stranger	12	“But when I think about the jump I fall over,” sighed Kangaroo.	41
5905	All About Feelings	9	I just want to give you a huge hug!”	58
7317	The First Christmas	8	They knew he was a very special baby.	35
12230	Grandma Bird	8	It was a long way to Grandma’s house.	2
4046	Tyrannosaurus Drip	12	And it fell across the river, and the Ts cried out, ‘Yippee!”	54
4905	I Am Amelia Earhart	21	Then I broke an altitude record, which is just a fancy- schmancy way of saying I went higher than anyone else.	64
4819	The Smeds and The Smoos	6	We have failed in our quest.	60
8673	The Teeny Weeny Tadpole	12	The teeny weeny tadpole swam in and out of the lily pads.	0
9745	Romp in the Swamp	2	Harry shouted.	33
2512	Elmer and Wilbur	4	to make them jump.	31
1766	Elmer and Grandpa Eldo	5	“Golden Grandpa Eldo,” said Monkey.	3
1053	A Squash and a Squeeze	8	My house is a squash and a squeeze.”	22
9815	The Polar Express	14	They pranced and paced, ringing the silver sleigh bells that hung from their harnesses.	49
10027	Mini Beasties	9	The red gown we see is like a butterfly.	82
13717	Super Sid The Silly Sausage Dog	12	Then Sid tried to show everyone what a good digger he was.	7
4325	The Enormous Turnip	6	“Time for bed,” he said, yawning.	53
11604	Harry and the Robots	12	They waved through the window but Nan did not open her eyes.	34
5803	The Gingerbread Man	6	But the gingerbread man jumped up.	7
2406	Yoga Babies	10	Two mice on the carpet, curled up so, so tight.	16
5267	Mole Hill	3	No one blinked.	45
11620	Harry and the Robots	3	he painted and...	50
6119	All About Feelings	9	“You looked sad so I drew you a picture.”	272
5781	Scruffy Bear and the Six White Mice	12	“But whoever heard of applesss with little pink tailsss like that one?”	70
2069	The Hedgehog's Balloon	9	“Another satisfied customer,” said Percy, feeling pleased with himself.	56
1039	A Squash and a Squeeze	9	The little old lady cried, “What shall I do?	8
1010	Elmer and the Lost Teddy	9	‘But, Wilbur, didn’t you know?” said Elmer in surprise.	66
12995	Elephant Learns to Share	11	So they did not want to share their game with him.	50
9296	The Paper Dolls	19	They were Ticky and Tacky and Jackie the Backie and Jim with two noses and Jo with the bow.	1
6095	All About Feelings	8	Ask if your friend can come another day.	248
7796	The Storm Whale	6	he would see his friend again.	27
7195	The Detective Dog	10	She barked, and the bark meant, “I’ve had an idea.”	60
6948	The Dinosaur That Pooped Christmas	19	It ate up the cat and the dog and the fish, And from the dishwasher it downed every dish.	21
2128	The Owl Who Was Afraid Of The Dark	7	“I’ve come to ask about the dark.	25
10198	The Smartest Giant in Town	5	It made an excellent path.	62
13542	The Snowiest Christmas Ever	11	All through the night, the snow got deeper . . .	21
13645	Jack and the Beanstalk	11	And with that he took out five beans from his purse.	19
3684	Gordon's Great Escape	8	As luck would have it, help found him!	41
5871	All About Feelings	4	Connor is feeling COLD.	24
3852	Wide-awake Hedgehog	7	“We must fly south to the warm.	11
2626	I Need A Wee	3	“No,” said Giraffe.	9
1475	The Enormous Crocodile	4	That’s not a see-saw!	208
970	Elmer and the Lost Teddy	4	“The twins are asleep.”	26
11490	The Duchess and Guy	9	Finally, Guy thought he’d found his place serving tea.	23
7551	The Jolly Postman or Other People's Letters	10	The Woods WIBGOIBUN SUPPLIES LTD® Everything for the modern witch.	15
1107	Keith The Cat With The Magic Hat	9	“W-w-well first,” stammered Keith, “I need my magic wand.”	16
12625	The Pirates Next Door	9	“Their teeth a re black... their nails are too!	52
8928	How The Grinch Stole Christmas	1	WHY?”	109
7627	The Jolly Postman or Other People's Letters	11	So Cinderella went to the ball and had a marvellous time.	91
388	Barry The Fish With Fingers	5	Had poor Puffy been squashed?	30
5163	The Bumblebear	9	“Hello, bees!” said the Queen, who was in charge.	8
2899	The Owl's Lesson	10	The squirrel managed to grab the end of the string.	55
10580	Knock Knock Dinosaur	5	Woah! ONE real live dinosaur!	2
13777	The Christmas Extravaganza Hotel	7	“I’m going to have a wonderful Christmas!”	30
4438	Why Am I An Insect	11	When they separate, the female is ready to lay her eggs.	106
6946	The Dinosaur That Pooped Christmas	10	The reindeer, the sleigh bells and all things that jingle.	19
5199	The Bumblebear	3	“Mmph?” said Norman.	44
315	Peace at Last	5	“Good morning, dear,” she said.	48
10903	Stick Man	5	What's that noise up above?	59
1078	A Squash and a Squeeze	9	“That’s better - at last I can sneeze again.”	47
10217	The Smartest Giant in Town	6	“I’m the cosiest giant in town!”	81
13692	Jack and the Beanstalk	15	And with Jack on her back she flew up and out of the castle window.	66
304	Peace at Last	5	“TWEET TWEET!” went the birds.	37
4394	Why Am I An Insect	11	Antennae can also sense whether the air is warm or cold.	62
12021	The Ugly Duckling	14	Once upon a time there was a mother duck, who had seven little ducklings.	0
5849	All About Feelings	1	Hungry?	2
8883	How The Grinch Stole Christmas	8	Did that stop the old Grinch ... ?	64
605	There's A Monster In Your Book	4	Try blowing him away.	9
3421	Zog	7	“I’m no good at this,” he cried.	50
3474	Lost in Snow	8	“Can we play in it, then?” he asked.	7
11865	Princess Mirror-Belle And The Dragon Pox	2	she said.	109
1533	The Enormous Crocodile	8	"""Which table shall we sit at?” said one."	266
9113	Harry and the Dinosaurs go to School	5	“Welcome to your new school.”	17
8063	Kipper's A to Z	13	The frog would have fitted in Arnold’s box, but Kipper couldn’t catch it.	15
9919	Superworm	6	The web is plenty big enough.	55
6341	All Year Round	10	Hang a thermometer outside and record the temperature each day.	28
11917	We're Going on a Bear Hunt	5	We can’t go over it.	23
5936	All About Feelings	10	“I’m feeling excited because it’s my birthday party this afternoon.”	89
12210	Harry and the Bucketful of Dinosaurs	15	Harry said, “I will close my eyes and call their names Then you will know.”	49
6208	The Lighthouse Keeper's Lunch	3	“I have it!”	44
5554	Dragon Post	6	Look forward touting meeting your dragon.	46
8970	How The Grinch Stole Christmas	14	He s et ya er se !d d ho nw n ea t hW	151
3295	Elmer and the Stranger	3	“Hello,” Kangaroo sniffed.	31
9169	Gruff the Grump	4	A great big bear.	1
12037	The Ugly Duckling	10	But “Honk,” was all the sad little duckling could say.	16
8144	Little Red Riding Hood	14	"""Take this to your grandmother on the other side of the woods,” she said."	5
1662	Open Very Carefully, A Book With Bite!	5	He might bite your finger.	14
248	The Monstrous Tale of Celery Crumble	9	It was twitchy and stripy with tufts of fur.	58
12336	The Wheels on the Bus	15	The wheels on the bus go round and round, Round and round, round and round.	0
10784	Little by Little	22	Then, one sunny Monday, Scramble and his sister were watching their friends jumping off the Highest-Ever Rock into the Deepest-Ever Pool below.	22
5617	A Letter to Santa	19	On Christmas Eve, when the snow was all white, I sat on the floor with a letter to write.	0
696	Mind Your Manners	6	Now everyone, just stop right there!	3
12535	What The Ladybird Heard Next	5	"You'll very soon be millionaires."""	43
2215	The Owl Who Was Afraid Of The Dark	15	“Come with me and I will show you the night-time world of cats and owls.”	112
1270	The Enormous Crocodile	12	“Do you know what I wo uld like for my lunch today?”	3
6601	Hippo Owns Up	14	She told him to go to the kitchen to get a drink of water.	22
3948	Doug The Bug That Went Boing	2	he gasped.	38
70	Sugarlump and the Unicorn	11	Dancing and prancing around the ring, The star of every show.	40
10550	All For One	9	"""We could fill it with warm water,"" said Marlon."	63
6532	All Year Round	11	You will need a hyacinth bulb, a jar and some toothpicks.	219
3043	The Fox's Hiccups	2	“Hie. .	40
7367	Careful Santa!	8	Santa agreed, as he carefully stowed everything away.	10
7536	The Jolly Postman or Other People's Letters	23	Once upon a bicycle, So they say, A Jolly Postman came one day From over the hills And far away . . .	0
7767	Charlie Cook's Favourite Book	24	She kept it up till morning, then she found a shady nook And put her head back on again to read her favourite book….	44
9224	Gruff the Grump	11	Then to his great surprise the little rabbit burst into tears.	56
10149	The Smartest Giant in Town	11	"""Cheer up!” said George, and he took off his stripy tie."	13
12604	The Pirates Next Door	10	Their lad is always playing with the most alarming toys...	31
1684	Open Very Carefully, A Book With Bite!	9	And he’s not looking too happy about that tutu.	36
41	Sugarlump and the Unicorn	14	"""Done!"" came a voice, and there stood a beast With a twisty silver horn."	11
5758	Scruffy Bear and the Six White Mice	12	“Ah ...” said the fox, looking down at the curious furry eggs.	47
13420	Who Will Save Us	6	"""That is true,"" replied Old Wise."	88
10472	Born to be a Butterfly	7	A brand-new butterfly rests in the sunshine!	39
10643	Knock Knock Dinosaur	23	Then round and round the house they rush; ; So when Mum walks in through the door, the house is cleaner than before!	65
4303	The Enormous Turnip	5	The dog ripped Jack’s shirt.	31
5886	All About Feelings	3	his lower lip.	39
1393	The Enormous Crocodile	8	He could see the town not far away.	126
2157	The Owl Who Was Afraid Of The Dark	14	Plop woke up the next afternoon and went out on to the landing branch.	54
9140	Harry and the Dinosaurs go to School	1	Wait!	44
13243	Knock Knock Pirate	7	"“Here, take this treasure map,"" I say."	17
5422	Ten in the Bed and Other Counting Rhymes	7	The animals went in nine by nine...	135
3902	Wide-awake Hedgehog	3	“And sleepiness too.	61
2025	The Hedgehog's Balloon	13	It didn’t take him long to collect as many as he could carry.	12
1351	The Enormous Crocodile	7	"""Would you like some nuts?” asked Muggle-Wump."	84
1650	Open Very Carefully, A Book With Bite!	2	What’s that?	2
13064	One Snowy Night	4	Percy asked the squirrel.	37
1768	Elmer and Grandpa Eldo	7	Grandpa Eldo was pleased to see Elmer....	5
3706	Dogger	13	When it was cold he wrapped him up in a bit of blanket.	8
2009	Harry and the Dinosaurs at the Museum	5	“I was with my dinosaurs.”	89
4149	Sharing A Shell	6	“You’re getting too heavy,” says Crab.	36
9368	Snow White, Star Striker	10	“Remember, you can win if you play as a team!”	40
12407	The Cave	6	“But I’m still a little hungry...”	33
2455	The Way Home For Wolf	3	MR “Don’t worry!”	38
9621	Father Christmas Needs A Wee	4	At number 7 sweets!	16
6386	All Year Round	10	Basil is grown among other plants to keep insects away.	73
13244	Knock Knock Pirate	8	“You can keep it if you go away.	18
7438	Careful Santa!	13	Quickly, Santa took off his jacket and spread it out on the ground.	81
3746	Dogger	7	Bella joined in to look for Dogger.	48
1701	Open Very Carefully, A Book With Bite!	7	I wonder where he’ll turn up next?	53
7681	What The Ladybird Heard	14	Round the duck pond, past the hog (Be careful not to wake the dog).	12
2536	Elmer and Wilbur	3	“Wilbur,” gasped Elmer.	55
217	The Monstrous Tale of Celery Crumble	11	“If you act like a monster then a monster you’ll become.	27
12424	Where's My Teddy	5	“Is it Freddy?” said Eddy.	14
5431	Ten in the Bed and Other Counting Rhymes	3	Fly away, Paul!	144
13392	Who Will Save Us	10	All this rubbish rots making lots of smelly, bad gas.	60
8935	How The Grinch Stole Christmas	6	Then he pat ted her head.	116
10683	Barry the Fish With Fingers and the Hairy Scary Monster	8	“No one EVER wants to play” Barry smiled.	36
3996	Tyrannosaurus Drip	21	Now across the rushy river, on a hill the other side, Lived a mean Tyrannosaurus with his grim and grisly bride.	4
3015	The Fox's Hiccups	15	“I wonder if hic-Percy knows a good cure for hic-cups,” the fox said to himself.	12
4605	Sir Charlie Stinky Socks and the Really Big Adventure	1	...	47
1111	Keith The Cat With The Magic Hat	2	“Wow, Keith!	20
13899	Cinder the Bubble-Blowing Dragon	30	But when he became the junior dragon at the palace, he found he could only blow bubbles... ...and however hard he puffed and snorted, not one flicker of flame appeared.	11
9605	Father Christmas Needs A Wee	5	Father Christmas needs a wee.	0
6876	Giraffe is Left Out	11	Then Leopard's dad said it was time to start the races.	84
900	Oi Frog!	12	"“But I don’t want to Sit on a log,"" said the frog."	2
184	The Gruffalo	5	Everyone is afraid of me!	94
7746	Charlie Cook's Favourite Book	36	About a wicked jewel thief who stole the King’s best crown But then got stuck The King dialled 999 behind some sheep, and soon the cops had which slowed his car caught the crook, right down.	23
2534	Elmer and Wilbur	3	They all looked.	53
5862	All About Feelings	4	“I can’t stop yawning!”	15
